Foremost version 1.5.7 by Jesse Kornblum, Kris Kendall, and Nick Mikus
Audit File

Foremost started at Fri Nov 25 22:49:21 2016
Invocation: foremost -t all darkstar.img 
Output directory: /home/pwn/ctf/2013/picoctf-2013/darkstar/output
Configuration file: /etc/foremost.conf
------------------------------------------------------------------
File: darkstar.img
Start: Fri Nov 25 22:49:21 2016
Length: 7 MB (8000000 bytes)
 
Num	 Name (bs=512)	       Size	 File Offset	 Comment 

0:	00009218.jpg 	       1 KB 	    4719616 	 
1:	00009222.jpg 	       7 KB 	    4721664 	 
2:	00009238.jpg 	       7 KB 	    4729856 	 
3:	00009257.jpg 	       2 KB 	    4740040 	 
4:	00009286.jpg 	       7 KB 	    4754432 	 
5:	00009302.jpg 	       1 KB 	    4762624 	 
6:	00009306.jpg 	       3 KB 	    4764672 	 
7:	00009314.jpg 	       2 KB 	    4768768 	 
8:	00009324.jpg 	       4 KB 	    4773924 	 
9:	00009382.jpg 	       5 KB 	    4803584 	 
10:	00009394.jpg 	       7 KB 	    4809728 	 
11:	00009410.jpg 	       2 KB 	    4817920 	 
12:	00009416.jpg 	       2 KB 	    4820992 	 
13:	00009422.jpg 	       2 KB 	    4824064 	 
14:	00009428.jpg 	       7 KB 	    4827136 	 
15:	00009444.jpg 	      16 KB 	    4835328 	 
16:	00009478.jpg 	      15 KB 	    4852736 	 
17:	00009510.jpg 	       5 KB 	    4869120 	 
18:	00009522.jpg 	       1 KB 	    4875264 	 
19:	00009526.jpg 	       5 KB 	    4877312 	 
20:	00009547.jpg 	       4 KB 	    4888152 	 
21:	00009587.jpg 	       4 KB 	    4908666 	 
22:	00009614.jpg 	       4 KB 	    4922368 	 
23:	00009624.jpg 	       1 KB 	    4927488 	 
24:	00009628.jpg 	       5 KB 	    4929536 	 
25:	00009640.jpg 	       6 KB 	    4935680 	 
26:	00009656.jpg 	       8 KB 	    4944292 	 
27:	00009700.jpg 	       4 KB 	    4966400 	 
28:	00009710.jpg 	       7 KB 	    4971520 	 
29:	00009726.jpg 	       3 KB 	    4979712 	 
30:	00009734.jpg 	       7 KB 	    4983808 	 
31:	00009750.jpg 	       5 KB 	    4992000 	 
32:	00009762.jpg 	       9 KB 	    4998144 	 
33:	00009792.jpg 	       7 KB 	    5013858 	 
34:	00009840.jpg 	       2 KB 	    5038080 	 
35:	00009846.jpg 	       5 KB 	    5041152 	 
36:	00009858.jpg 	       5 KB 	    5047296 	 
37:	00009870.jpg 	       4 KB 	    5053440 	 
38:	00009880.jpg 	       7 KB 	    5058560 	 
39:	00009896.jpg 	       3 KB 	    5066752 	 
40:	00009904.jpg 	       1 KB 	    5070848 	 
41:	00009908.jpg 	       4 KB 	    5072896 	 
42:	00009918.jpg 	      10 KB 	    5078016 	 
43:	00009940.jpg 	       5 KB 	    5089280 	 
44:	00009952.jpg 	       8 KB 	    5095424 	 
45:	00009970.jpg 	       3 KB 	    5104640 	 
46:	00010004.jpg 	       5 KB 	    5122132 	 
47:	00010054.jpg 	       1 KB 	    5147648 	 
48:	00010058.jpg 	       2 KB 	    5149696 	 
49:	00010064.jpg 	       3 KB 	    5152768 	 
50:	00010072.jpg 	       2 KB 	    5156864 	 
51:	00010078.jpg 	      988 B 	    5159936 	 
52:	00010080.jpg 	       2 KB 	    5160960 	 
53:	00010086.jpg 	       1 KB 	    5164032 	 
54:	00010090.jpg 	       4 KB 	    5166080 	 
55:	00010100.jpg 	       6 KB 	    5171200 	 
56:	00010114.jpg 	       6 KB 	    5178368 	 
57:	00010138.jpg 	       3 KB 	    5191052 	 
58:	00010208.jpg 	       5 KB 	    5226496 	 
59:	00010220.jpg 	       1 KB 	    5232640 	 
60:	00010234.jpg 	       6 KB 	    5239934 	 
61:	00010282.jpg 	       5 KB 	    5264384 	 
62:	00010294.jpg 	      14 KB 	    5270528 	 
63:	00010324.jpg 	      14 KB 	    5285888 	 
64:	00010354.jpg 	       1 KB 	    5301248 	 
65:	00010358.jpg 	       6 KB 	    5303296 	 
66:	00010372.jpg 	       2 KB 	    5310464 	 
67:	00010388.jpg 	       5 KB 	    5319112 	 
68:	00010432.jpg 	       7 KB 	    5341184 	 
69:	00010448.jpg 	       6 KB 	    5349376 	 
70:	00010462.jpg 	      14 KB 	    5356544 	 
71:	00010492.jpg 	       7 KB 	    5371904 	 
72:	00010519.jpg 	       2 KB 	    5385904 	 
73:	00010552.jpg 	       6 KB 	    5402624 	 
74:	00010566.jpg 	       5 KB 	    5409792 	 
75:	00010578.jpg 	       5 KB 	    5415936 	 
76:	00010590.jpg 	       7 KB 	    5422080 	 
77:	00010606.jpg 	       3 KB 	    5430272 	 
78:	00010614.jpg 	       8 KB 	    5434368 	 
79:	00010632.jpg 	       5 KB 	    5443584 	 
80:	00010644.jpg 	       7 KB 	    5449728 	 
81:	00010660.jpg 	       1 KB 	    5457920 	 
82:	00010664.jpg 	       6 KB 	    5459968 	 
83:	00010678.jpg 	       2 KB 	    5467136 	 
84:	00010688.jpg 	       2 KB 	    5472272 	 
85:	00010716.jpg 	       3 KB 	    5486592 	 
86:	00010724.jpg 	       7 KB 	    5490688 	 
87:	00010740.jpg 	       4 KB 	    5498880 	 
88:	00010750.jpg 	       2 KB 	    5504000 	 
89:	00010764.jpg 	       5 KB 	    5511632 	 
90:	00010794.jpg 	       1 KB 	    5526528 	 
91:	00010798.jpg 	       3 KB 	    5528576 	 
92:	00010806.jpg 	       4 KB 	    5532672 	 
93:	00010816.jpg 	       2 KB 	    5537792 	 
94:	00010822.jpg 	       3 KB 	    5540864 	 
95:	00010830.jpg 	       6 KB 	    5544960 	 
96:	00010844.jpg 	       2 KB 	    5552128 	 
97:	00010850.jpg 	      11 KB 	    5555200 	 
98:	00010960.jpg 	       5 KB 	    5611520 	 
99:	00010980.jpg 	       9 KB 	    5622214 	 
100:	00011020.jpg 	       3 KB 	    5642240 	 
101:	00011028.jpg 	       2 KB 	    5646336 	 
102:	00011044.jpg 	       6 KB 	    5654908 	 
103:	00011092.jpg 	       2 KB 	    5679104 	 
104:	00011098.jpg 	       5 KB 	    5682176 	 
105:	00011110.jpg 	       5 KB 	    5688320 	 
106:	00011122.jpg 	       5 KB 	    5694464 	 
107:	00011134.jpg 	       7 KB 	    5700608 	 
108:	00011150.jpg 	       7 KB 	    5708800 	 
109:	00011166.jpg 	      11 KB 	    5716992 	 
110:	00011190.jpg 	       4 KB 	    5729280 	 
